organisation,wikidata,name,website,statistical-geography,toid,opendatacommunities,esd-inventories,start-date,end-date
government-organisation:OT941,,Office of the Commissioner for Protection Against Unlawful Industrial Action,https://www.gov.uk/government/organisations/office-of-the-commissioner-for-protection-against-unlawful-industrial-action,,,,,,1999-10-25
government-organisation:OT944,,Bloody Sunday Inquiry,https://www.gov.uk/government/organisations/bloody-sunday-inquiry,,,,,,
government-organisation:OT945,,Office of the Health Professions Adjudicator,https://www.gov.uk/government/organisations/office-of-the-health-professions-adjudicator,,,,,,2012-06-30
government-organisation:OT946,,Royal Trustees' Office,https://www.gov.uk/government/organisations/royal-trustees-office,,,,,,2012
government-organisation:OT947,,Infrastructure Planning Commission,https://www.gov.uk/government/organisations/infrastructure-planning-commission,,,,,,2012-01-31
government-organisation:OT950,,CO2Sense,https://www.gov.uk/government/organisations/co2sense,,,,,,2012-03
government-organisation:OT951,,Billy Wright Inquiry,https://www.gov.uk/government/organisations/billy-wright-inquiry,,,,,,
government-organisation:OT952,,Redfern Inquiry,https://www.gov.uk/government/organisations/redfern-inquiry,,,,,,2010-11
government-organisation:OT953,,SITPRO,https://www.gov.uk/government/organisations/sitpro,,,,,,2010-11-30
government-organisation:OT954,,Rosemary Nelson Inquiry,https://www.gov.uk/government/organisations/rosemary-nelson-inquiry,,,,,,2011-05-23
government-organisation:OT957,,English Institute of Sport,https://www.gov.uk/government/organisations/english-institute-of-sport,,,,,,
government-organisation:OT958,,Mull of Kintyre Review,https://www.gov.uk/government/organisations/mull-of-kintyre-review,,,,,,2011
government-organisation:OT961,,Firebuy,https://www.gov.uk/government/organisations/firebuy,,,,,,2011-07-13
government-organisation:OT962,,Public Prosecution Service for Northern Ireland,https://www.gov.uk/government/organisations/public-prosecution-service-for-northern-ireland,,,,,,
government-organisation:OT963,,Baha Mousa Inquiry,https://www.gov.uk/government/organisations/baha-mousa-inquiry,,,,,,
government-organisation:OT964,,Creative Scotland,https://www.gov.uk/government/organisations/creative-scotland,,,,,,
government-organisation:OT966,,Hillsborough Independent Panel,https://www.gov.uk/government/organisations/hillsborough-independent-panel,,,,,,2012-09-12
government-organisation:OT967,,Leveson Inquiry,https://www.gov.uk/government/organisations/leveson-inquiry,,,,,,2012
government-organisation:OT968,,Patrick Finucane Review,https://www.gov.uk/government/organisations/patrick-finucane-review,,,,,,2015-01
government-organisation:OT969,,Mid Staffordshire NHS Foundation Trust Public Inquiry 2013,https://www.gov.uk/government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry,,,,,,2013-02
government-organisation:OT971,,Professional Standards Authority for Health and Social Care,https://www.gov.uk/government/organisations/professional-standards-authority-for-health-and-social-care,,,,,,
government-organisation:OT972,,Azelle Rodney Inquiry,https://www.gov.uk/government/organisations/azelle-rodney-inquiry,,,,,,
government-organisation:OT975,,Nature Conservancy Council,https://www.gov.uk/government/organisations/nature-conservancy-council,,,,,,1991
government-organisation:OT976,,Office of the Lay Observer,https://www.gov.uk/government/organisations/office-of-the-lay-observer,,,,,,
government-organisation:OT977,,Office of Telecommunications,https://www.gov.uk/government/organisations/office-of-telecommunications,,,,,,2003-12-29
government-organisation:OT978,,Oftel,https://www.gov.uk/government/organisations/oftel,,,,,,2003
government-organisation:OT979,,Office of the Data Protection Registrar,https://www.gov.uk/government/organisations/office-of-the-data-protection-registrar,,,,,,1998
government-organisation:OT980,,Polytechnics and Colleges Funding Council,https://www.gov.uk/government/organisations/polytechnics-and-colleges-funding-council,,,,,,1992
government-organisation:OT984,,Inquiry into the supervision of the Bank of Credit and Commerce International,https://www.gov.uk/government/organisations/inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international,,,,,,1992
government-organisation:OT987,,National Museums of Scotland,https://www.gov.uk/government/organisations/national-museums-of-scotland,,,,,,
government-organisation:OT988,,Ancient Monuments Board for Scotland,https://www.gov.uk/government/organisations/ancient-monuments-board-for-scotland,,,,,,
government-organisation:OT989,,Scottish Hospital Trust,https://www.gov.uk/government/organisations/scottish-hospital-trust,,,,,,
government-organisation:OT991,,Welsh Development Agency,https://www.gov.uk/government/organisations/welsh-development-agency,,,,,,2006-04-01
government-organisation:OT992,,Chemical and Biological Defence Establishment,https://www.gov.uk/government/organisations/chemical-and-biological-defence-establishment,,,,,,
government-organisation:OT993,,Department of National Heritage,https://www.gov.uk/government/organisations/department-of-national-heritage,,,,,,1997
government-organisation:OT994,,Legal Aid Board,https://www.gov.uk/government/organisations/legal-aid-board,,,,,,2000
government-organisation:OT995,,Independent Television Commission,https://www.gov.uk/government/organisations/independent-television-commission,,,,,,2003-12-28
government-organisation:OT996,,Board of Banking Supervision,https://www.gov.uk/government/organisations/board-of-banking-supervision,,,,,,
government-organisation:OT997,,Her Majesty's Magistrates Courts Service Inspectorate,https://www.gov.uk/government/organisations/her-majestys-magistrates-courts-service-inspectorate,,,,,,
government-organisation:OT998,,Examination team on child care procedures and practice in North Wales,https://www.gov.uk/government/organisations/examination-team-on-child-care-procedures-and-practice-in-north-wales,,,,,,1996-06-17
government-organisation:OT999,,Natural Resources Institute,https://www.gov.uk/government/organisations/natural-resources-institute,,,,,,1996-05
government-organisation:PB1017,,Independent Medical Expert Group,https://www.gov.uk/government/organisations/independent-medical-expert-group,,,,,,
government-organisation:PB1062,,Company Names Tribunal,https://www.gov.uk/government/organisations/company-names-tribunal,,,,,,
government-organisation:PB1072,,Agri-Food and Biosciences Institute (Northern Ireland),https://www.gov.uk/government/organisations/agri-food-and-biosciences-institute,,,,,,
government-organisation:PB1078,,Innovate UK,https://www.gov.uk/government/organisations/innovate-uk,,,,,,
government-organisation:PB1083,,Police Remuneration Review Body,https://www.gov.uk/government/organisations/police-remuneration-review-body,,,,,,
government-organisation:PB1093,,Single Source Regulations Office,https://www.gov.uk/government/organisations/single-source-regulations-office,,,,,,
government-organisation:PB1118,,Transport Focus,https://www.gov.uk/government/organisations/transport-focus,,,,,,
government-organisation:PB1149,,Independent Commission on Freedom of Information,https://www.gov.uk/government/organisations/independent-commission-on-freedom-of-information,,,,,,
government-organisation:PB1152,,Disabled People’s Employment Corporation,https://www.gov.uk/government/organisations/disabled-peoples-employment-corporation,,,,,,
government-organisation:PB1154,,Ebbsfleet Development Corporation,https://www.gov.uk/government/organisations/ebbsfleet-development-corporation,,,,,,
government-organisation:PB1164,,Historic England,https://www.gov.uk/government/organisations/historic-england,,,,,,
government-organisation:PB1171,,UK Holocaust Memorial Foundation,https://www.gov.uk/government/organisations/uk-holocaust-memorial-foundation,,,,,,
government-organisation:PB1172,,Committee on Fuel Poverty,https://www.gov.uk/government/organisations/committee-on-fuel-poverty,,,,,,
government-organisation:PB118,,Horserace Betting Levy Board,https://www.gov.uk/government/organisations/horserace-betting-levy-board,,,,,,
government-organisation:PB1185,,Independent Dormant Assets Commission,https://www.gov.uk/government/organisations/dormant-assets-commission,,,,,,
government-organisation:PB1193,,Social Mobility Commission,https://www.gov.uk/government/organisations/social-mobility-commission,,,,,,
government-organisation:PB1194,,Central Advisory Committee on Compensation,https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation,,,,,,
government-organisation:PB1199,,NHS Improvement,https://www.gov.uk/government/organisations/nhs-improvement,,,,,,
government-organisation:PB120,,Higher Education Funding Council for England,https://www.gov.uk/government/organisations/higher-education-funding-council-for-england,,,,,,
government-organisation:PB1202,,NHS Digital,https://www.gov.uk/government/organisations/nhs-digital,,,,,,
government-organisation:PB1204,,Valuation Tribunal for England,https://www.gov.uk/government/organisations/valuation-tribunal-for-england,,,,,,
government-organisation:PB121,,Council for Science and Technology,https://www.gov.uk/government/organisations/council-for-science-and-technology,,,,,,
government-organisation:PB1212,,Northern Ireland Housing Executive,https://www.gov.uk/government/organisations/northern-ireland-housing-executive,,,,,,
government-organisation:PB1214,,Institute for Apprenticeships,https://www.gov.uk/government/organisations/institute-for-apprenticeships,,,,,,
government-organisation:PB1218,,Regulator of Social Housing,https://www.gov.uk/government/organisations/regulator-of-social-housing,,,,,,
government-organisation:PB122,,Low Pay Commission,https://www.gov.uk/government/organisations/low-pay-commission,,,,,,
government-organisation:PB123,,Arts and Humanities Research Council,https://www.gov.uk/government/organisations/arts-and-humanities-research-council,,,,,,
government-organisation:PB124,,British Hallmarking Council,https://www.gov.uk/government/organisations/british-hallmarking-council,,,,,,
government-organisation:PB126,,Construction Industry Training Board,https://www.gov.uk/government/organisations/construction-industry-training-board,,,,,,
government-organisation:PB129,,Economic and Social Research Council,https://www.gov.uk/government/organisations/economic-and-social-research-council,,,,,,
government-organisation:PB130,,Engineering and Physical Sciences Research Council,https://www.gov.uk/government/organisations/engineering-and-physical-sciences-research-council,,,,,,
government-organisation:PB131,,Engineering Construction Industry Training Board,https://www.gov.uk/government/organisations/engineering-construction-industry-training-board,,,,,,
government-organisation:PB132,,Medical Research Council,https://www.gov.uk/government/organisations/medical-research-council,,,,,,
government-organisation:PB133,,Natural Environment Research Council,https://www.gov.uk/government/organisations/natural-environment-research-council,,,,,,
government-organisation:PB134,,Office for Fair Access,https://www.gov.uk/government/organisations/office-for-fair-access,,,,,,
government-organisation:PB135,,Science and Technology Facilities Council,https://www.gov.uk/government/organisations/science-and-technology-facilities-council,,,,,,
government-organisation:PB136,,Technology Strategy Board,https://www.gov.uk/government/organisations/technology-strategy-board,,,,,,
government-organisation:PB137,,UK Atomic Energy Authority,https://www.gov.uk/government/organisations/uk-atomic-energy-authority,,,,,,
government-organisation:PB138,,UK Commission for Employment and Skills,https://www.gov.uk/government/organisations/uk-commission-for-employment-and-skills,,,,,,
government-organisation:PB139,,Certification Officer,https://www.gov.uk/government/organisations/certification-officer,,,,,,
government-organisation:PB140,,Competition Appeal Tribunal,https://www.gov.uk/government/organisations/competition-appeal-tribunal,,,,,,
government-organisation:PB147,,Capital for Enterprise Limited,https://www.gov.uk/government/organisations/capital-for-enterprise-ltd,,,,,,
government-organisation:PB148,,Central Arbitration Committee,https://www.gov.uk/government/organisations/central-arbitration-committee,,,,,,
government-organisation:PB158,,Committee on Standards in Public Life,https://www.gov.uk/government/organisations/the-committee-on-standards-in-public-life,,,,,,
government-organisation:PB160,,Building Regulations Advisory Committee,https://www.gov.uk/government/organisations/building-regulations-advisory-committee,,,,,,
government-organisation:PB161,,Homes and Communities Agency,https://www.gov.uk/government/organisations/homes-and-communities-agency,,,,,,
government-organisation:PB165,,Arts Council England,https://www.gov.uk/government/organisations/arts-council-england,,,,,,
government-organisation:PB166,,British Library,https://www.gov.uk/government/organisations/british-library,,,,,,
government-organisation:PB167,,British Museum,https://www.gov.uk/government/organisations/british-museum,,,,,,
government-organisation:PB168,,English Heritage,https://www.gov.uk/government/organisations/english-heritage,,,,,,2015-04-01
government-organisation:PB169,,Gambling Commission,https://www.gov.uk/government/organisations/gambling-commission,,,,,,
government-organisation:PB170,,Geffrye Museum,https://www.gov.uk/government/organisations/geffrye-museum,,,,,,
government-organisation:PB171,,Horniman Public Museum and Public Park Trust,https://www.gov.uk/government/organisations/horniman-museum,,,,,,
government-organisation:PB172,,Imperial War Museum,https://www.gov.uk/government/organisations/imperial-war-museum,,,,,,
government-organisation:PB174,,National Gallery,https://www.gov.uk/government/organisations/national-gallery,,,,,,
government-organisation:PB175,,National Heritage Memorial Fund,https://www.gov.uk/government/organisations/national-heritage-memorial-fund,,,,,,
government-organisation:PB177,,Science Museum Group,https://www.gov.uk/government/organisations/science-museum-group,,,,,,
government-organisation:PB178,,National Museums Liverpool,https://www.gov.uk/government/organisations/national-museums-liverpool,,,,,,
government-organisation:PB179,,National Portrait Gallery,https://www.gov.uk/government/organisations/national-portrait-gallery,,,,,,
government-organisation:PB180,,Natural History Museum,https://www.gov.uk/government/organisations/natural-history-museum,,,,,,
government-organisation:PB181,,Olympic Delivery Authority,https://www.gov.uk/government/organisations/olympic-delivery-authority,,,,,,2014-12-02
government-organisation:PB182,,Royal Armouries Museum,https://www.gov.uk/government/organisations/royal-armouries-museum,,,,,,
government-organisation:PB183,,Sir John Soane's Museum,https://www.gov.uk/government/organisations/sir-john-soane-s-museum,,,,,,
government-organisation:PB184,,Sports Grounds Safety Authority,https://www.gov.uk/government/organisations/sports-grounds-safety-authority,,,,,,
government-organisation:PB185,,UK Sport,https://www.gov.uk/government/organisations/uk-sport,,,,,,
government-organisation:PB186,,VisitBritain,https://www.gov.uk/government/organisations/visitbritain,,,,,,
government-organisation:PB187,,Wallace Collection,https://www.gov.uk/government/organisations/wallace-collection,,,,,,
government-organisation:PB188,,Big Lottery Fund,https://www.gov.uk/government/organisations/big-lottery-fund,,,,,,
government-organisation:PB189,,British Film Institute,https://www.gov.uk/government/organisations/british-film-institute,,,,,,
government-organisation:PB190,,Sport England,https://www.gov.uk/government/organisations/sport-england,,,,,,
government-organisation:PB191,,Committee on Radioactive Waste Management,https://www.gov.uk/government/organisations/committee-on-radioactive-waste-management,,,,,,
government-organisation:PB192,,Fuel Poverty Advisory Group,https://www.gov.uk/government/organisations/the-fuel-poverty-advisory-group,,,,,,
government-organisation:PB193,,Nuclear Liabilities Financing Assurance Board,https://www.gov.uk/government/organisations/nuclear-liabilities-financing-assurance-board,,,,,,
government-organisation:PB194,,Civil Nuclear Police Authority,https://www.gov.uk/government/organisations/civil-nuclear-police-authority,,,,,,
government-organisation:PB195,,Coal Authority,https://www.gov.uk/government/organisations/the-coal-authority,,,,,,
government-organisation:PB196,,Committee on Climate Change,https://www.gov.uk/government/organisations/committee-on-climate-change,,,,,,
government-organisation:PB197,,Nuclear Decommissioning Authority,https://www.gov.uk/government/organisations/nuclear-decommissioning-authority,,,,,,
government-organisation:PB198,,Consumer Council for Water,https://www.gov.uk/government/organisations/consumer-council-for-water,,,,,,
government-organisation:PB200,,Gangmasters and Labour Abuse Authority,https://www.gov.uk/government/organisations/gangmasters-and-labour-abuse-authority,,,,,,
government-organisation:PB201,,Joint Nature Conservation Committee,https://www.gov.uk/government/organisations/joint-nature-conservation-committee,,,,,,
government-organisation:PB202,,Natural England,https://www.gov.uk/government/organisations/natural-england,,,,,,
government-organisation:PB207,,Health and Safety Executive,https://www.gov.uk/government/organisations/health-and-safety-executive,,,,,,
government-organisation:PB208,,Advisory Committee on Pesticides,https://www.gov.uk/government/organisations/advisory-committee-on-pesticides,,,,,,2015-03
government-organisation:PB209,,Advisory Committee on Releases to the Environment,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment,,,,,,
government-organisation:PB210,,Independent Agricultural Appeals Panel,https://www.gov.uk/government/organisations/independent-agricultural-appeals-panel,,,,,,
government-organisation:PB211,,Science Advisory Council,https://www.gov.uk/government/organisations/science-advisory-council,,,,,,
government-organisation:PB212,,Veterinary Products Committee,https://www.gov.uk/government/organisations/veterinary-products-committee,,,,,,
government-organisation:PB226,,Commonwealth Scholarship Commission in the UK,https://www.gov.uk/government/organisations/commonwealth-scholarship-commission-in-the-uk,,,,,,
government-organisation:PB230,,Equality 2025,https://www.gov.uk/government/organisations/equality-2025,,,,,,2013-09
government-organisation:PB231,,Industrial Injuries Advisory Council,https://www.gov.uk/government/organisations/industrial-injuries-advisory-council,,,,,,
government-organisation:PB232,,Social Security Advisory Committee,https://www.gov.uk/government/organisations/social-security-advisory-committee,,,,,,
government-organisation:PB233,,The Pensions Advisory Service,https://www.gov.uk/government/organisations/the-pensions-advisory-service,,,,,,
government-organisation:PB234,,The Pensions Regulator,https://www.gov.uk/government/organisations/the-pensions-regulator,,,,,,
government-organisation:PB235,,Pension Protection Fund Ombudsman,https://www.gov.uk/government/organisations/pension-protection-fund-ombudsman,,,,,,
government-organisation:PB236,,Pensions Ombudsman,https://www.gov.uk/government/organisations/pensions-ombudsman,,,,,,
government-organisation:PB246,,The Children and Family Court Advisory and Support Service,https://www.gov.uk/government/organisations/children-and-family-court-advisory-and-support-service,,,,,,
government-organisation:PB247,,Disabled Persons Transport Advisory Committee,https://www.gov.uk/government/organisations/disabled-persons-transport-advisory-committee,,,,,,
government-organisation:PB251,,Care Quality Commission,https://www.gov.uk/government/organisations/care-quality-commission,,,,,,
government-organisation:PB253,,Human Fertilisation and Embryology Authority,https://www.gov.uk/government/organisations/human-fertilisation-and-embryology-authority,,,,,,
government-organisation:PB254,,Human Tissue Authority,https://www.gov.uk/government/organisations/human-tissue-authority,,,,,,
government-organisation:PB255,,Monitor,https://www.gov.uk/government/organisations/monitor,,,,,,2016-04-01
government-organisation:PB257,,Foreign Compensation Commission,https://www.gov.uk/government/organisations/foreign-compensation-commission,,,,,,
government-organisation:PB260,,Office for Budget Responsibility,https://www.gov.uk/government/organisations/office-for-budget-responsibility,,,,,,
government-organisation:PB263,,Office of the Immigration Services Commissioner,https://www.gov.uk/government/organisations/office-of-the-immigration-services-commissioner,,,,,,
government-organisation:PB264,,Security Industry Authority,https://www.gov.uk/government/organisations/security-industry-authority,,,,,,
government-organisation:PB265,,Serious Organised Crime Agency,https://www.gov.uk/government/organisations/serious-organised-crime-agency,,,,,,2013-10-07
government-organisation:PB266,,Office of Manpower Economics,https://www.gov.uk/government/organisations/office-of-manpower-economics,,,,,,
government-organisation:PB27,,Student Loans Company,https://www.gov.uk/government/organisations/student-loans-company,,,,,,
government-organisation:PB270,,Investigatory Powers Tribunal,https://www.gov.uk/government/organisations/investigatory-powers-tribunal,,,,,,
government-organisation:PB271,,Advisory Council on the Misuse of Drugs,https://www.gov.uk/government/organisations/advisory-council-on-the-misuse-of-drugs,,,,,,
government-organisation:PB273,,Police Advisory Board for England and Wales,https://www.gov.uk/government/organisations/police-advisory-board-for-england-and-wales,,,,,,
government-organisation:PB274,,Technical Advisory Board,https://www.gov.uk/government/organisations/technical-advisory-board,,,,,,
government-organisation:PB275,,Migration Advisory Committee,https://www.gov.uk/government/organisations/migration-advisory-committee,,,,,,
government-organisation:PB276,,National DNA Database Ethics Group,https://www.gov.uk/government/organisations/national-dna-database-ethics-group,,,,,,
government-organisation:PB277,,Police Arbitration Tribunal,https://www.gov.uk/government/organisations/police-arbitration-tribunal,,,,,,
government-organisation:PB278,,Police Discipline Appeals Tribunal,https://www.gov.uk/government/organisations/police-discipline-appeals-tribunal,,,,,,
government-organisation:PB28,,"Advisory, Conciliation and Arbitration Service",https://www.gov.uk/government/organisations/acas,,,,,,
government-organisation:PB29,,National Fraud Authority,https://www.gov.uk/government/organisations/national-fraud-authority,,,,,,2014-03-31
government-organisation:PB290,,National Museum of the Royal Navy,https://www.gov.uk/government/organisations/royal-naval-museum,,,,,,
government-organisation:PB291,,Royal Museums Greenwich,https://www.gov.uk/government/organisations/royal-museums-greenwich,,,,,,
government-organisation:PB293,,Civil Justice Council,https://www.gov.uk/government/organisations/civil-justice-council,,,,,,
government-organisation:PB294,,Law Commission,https://www.gov.uk/government/organisations/law-commission,,,,,,
government-organisation:PB295,,Sentencing Council for England and Wales,https://www.gov.uk/government/organisations/the-sentencing-council-for-england-and-wales,,,,,,
government-organisation:PB296,,Victims' Advisory Panel,https://www.gov.uk/government/organisations/victim-s-advisory-panel,,,,,,2013-07-24
government-organisation:PB297,,Criminal Injuries Compensation Authority,https://www.gov.uk/government/organisations/criminal-injuries-compensation-authority,,,,,,
government-organisation:PB298,,Information Commissioner's Office,https://www.gov.uk/government/organisations/information-commissioner-s-office,,,,,,
government-organisation:PB299,,Judicial Appointments Commission,https://www.gov.uk/government/organisations/judicial-appointments-commission,,,,,,
government-organisation:PB300,,Legal Services Commission,https://www.gov.uk/government/organisations/legal-services-commission,,,,,,2013-04-01
government-organisation:PB301,,Parole Board,https://www.gov.uk/government/organisations/parole-board,,,,,,
government-organisation:PB302,,Youth Justice Board for England and Wales,https://www.gov.uk/government/organisations/youth-justice-board-for-england-and-wales,,,,,,
government-organisation:PB307,,National Army Museum,https://www.gov.uk/government/organisations/national-army-museum,,,,,,
government-organisation:PB308,,Royal Air Force Museum,https://www.gov.uk/government/organisations/royal-air-force-museum,,,,,,
government-organisation:PB310,,Royal Marines Museum,https://www.gov.uk/government/organisations/royal-marines-museum,,,,,,
government-organisation:PB311,,Fleet Air Arm Museum,https://www.gov.uk/government/organisations/fleet-air-arm-museum,,,,,,
government-organisation:PB317,,Biotechnology and Biological Sciences Research Council,https://www.gov.uk/government/organisations/biotechnology-biological-sciences-research-council,,,,,,
government-organisation:PB318,,Competition Service,https://www.gov.uk/government/organisations/competition-service,,,,,,
government-organisation:PB326,,Victims' Commissioner,https://www.gov.uk/government/organisations/victims-commissioner,,,,,,
government-organisation:PB336,,Advisory Committee on Business Appointments,https://www.gov.uk/government/organisations/advisory-committee-on-business-appointments,,,,,,
government-organisation:PB337,,Boundary Commission for England,https://www.gov.uk/government/organisations/boundary-commission-for-england,,,,,,
government-organisation:PB348,,Pension Protection Fund,https://www.gov.uk/government/organisations/pension-protection-fund,,,,,,
government-organisation:PB349,,Independent Living Fund,https://www.gov.uk/government/organisations/independent-living-fund,,,,,,2015-06-30
government-organisation:PB350,,Remploy Ltd,https://www.gov.uk/government/organisations/remploy-ltd,,,,,,
government-organisation:PB353,,Competition Commission,https://www.gov.uk/government/organisations/competition-commission,,,,,,2014-04-01
government-organisation:PB354,,Regulatory Policy Committee,https://www.gov.uk/government/organisations/regulatory-policy-committee,,,,,,
government-organisation:PB355,,Copyright Tribunal,https://www.gov.uk/government/organisations/copyright-tribunal,,,,,,
government-organisation:PB356,,Consumer Futures,https://www.gov.uk/government/organisations/consumer-focus,,,,,,2014-04-01
government-organisation:PB357,,Export Guarantees Advisory Council,https://www.gov.uk/government/organisations/export-guarantees-advisory-council,,,,,,
government-organisation:PB358,,Land Registration Rule Committee,https://www.gov.uk/government/organisations/land-registration-rule-committee,,,,,,
government-organisation:PB366,,Civil Service Commission,https://www.gov.uk/government/organisations/civil-service-commission,,,,,,
government-organisation:PB367,,Security Vetting Appeals Panel,https://www.gov.uk/government/organisations/security-vetting-appeals-panel,,,,,,
government-organisation:PB368,,Senior Salaries Review Body,https://www.gov.uk/government/organisations/review-body-on-senior-salaries,,,,,,
government-organisation:PB372,,Housing Ombudsman,https://www.gov.uk/government/organisations/housing-ombudsman,,,,,,
government-organisation:PB373,,Leasehold Advisory Service,https://www.gov.uk/government/organisations/leasehold-advisory-service,,,,,,
government-organisation:PB374,,London Thames Gateway Development Corporation,https://www.gov.uk/government/organisations/london-thames-gateway-development-corporation,,,,,,2013-02-28
government-organisation:PB375,,Valuation Tribunal Service,https://www.gov.uk/government/organisations/valuation-tribunal-service-for-england-valuation-tribunal-service,,,,,,
government-organisation:PB376,,VisitEngland,https://www.gov.uk/government/organisations/visitengland,,,,,,
government-organisation:PB377,,UK Anti-Doping,https://www.gov.uk/government/organisations/uk-anti-doping,,,,,,
government-organisation:PB378,,Victoria and Albert Museum,https://www.gov.uk/government/organisations/victoria-and-albert-museum,,,,,,
government-organisation:PB380,,The Theatres Trust,https://www.gov.uk/government/organisations/the-theatres-trust,,,,,,
government-organisation:PB382,,The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest,https://www.gov.uk/government/organisations/the-reviewing-committee-on-the-export-of-works-of-art-and-objects-of-cultural-interest,,,,,,
government-organisation:PB383,,Treasure Valuation Committee,https://www.gov.uk/government/organisations/treasure-valuation-committee,,,,,,
government-organisation:PB392,,Advisory Committee on Conscientious Objectors,https://www.gov.uk/government/organisations/advisory-committee-on-conscientious-objectors,,,,,,
government-organisation:PB393,,Advisory Group on Military Medicine,https://www.gov.uk/government/organisations/advisory-group-on-military-medicine,,,,,,
government-organisation:PB394,,Armed Forces' Pay Review Body,https://www.gov.uk/government/organisations/armed-forces-pay-review-body,,,,,,
government-organisation:PB395,,Central Advisory Committee on Pensions and Compensation,https://www.gov.uk/government/organisations/central-advisory-committee-on-pensions-and-compensation,,,,,,
government-organisation:PB396,,Defence Nuclear Safety Committee,https://www.gov.uk/government/organisations/defence-nuclear-safety-committee,,,,,,
government-organisation:PB397,,Defence Scientific Advisory Council,https://www.gov.uk/government/organisations/defence-scientific-advisory-council,,,,,,
government-organisation:PB399,,National Employer Advisory Board,https://www.gov.uk/government/organisations/national-employer-advisory-board,,,,,,
government-organisation:PB400,,Nuclear Research Advisory Council,https://www.gov.uk/government/organisations/nuclear-research-advisory-council,,,,,,
government-organisation:PB401,,The Oil and Pipelines Agency,https://www.gov.uk/government/organisations/oil-and-pipelines-agency,,,,,,
government-organisation:PB402,,Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons,https://www.gov.uk/government/organisations/science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons,,,,,,
government-organisation:PB403,,Veterans Advisory and Pensions Committees,https://www.gov.uk/government/organisations/veterans-advisory-and-pensions-committees-x13,,,,,,
government-organisation:PB413,,Office of the Children's Commissioner,https://www.gov.uk/government/organisations/office-of-the-children-s-commissioner,,,,,,
government-organisation:PB414,,School Teachers' Review Body,https://www.gov.uk/government/organisations/school-teachers-review-body,,,,,,
government-organisation:PB415,,National Forest Company,https://www.gov.uk/government/organisations/national-forest-company,,,,,,
government-organisation:PB420,,Agricultural Wages Committee,https://www.gov.uk/government/organisations/agricultural-wages-committee-x13,,,,,,
government-organisation:PB421,,Agricultural Dwelling House Advisory Committees (x16),https://www.gov.uk/government/organisations/agricultural-dwelling-house-advisory-committees-x16,,,,,,
government-organisation:PB423,,Plant Varieties and Seeds Tribunal,https://www.gov.uk/government/organisations/plant-varieties-and-seeds-tribunal,,,,,,
government-organisation:PB426,,Great Britain-China Centre,https://www.gov.uk/government/organisations/great-britain-china-centre,,,,,,
government-organisation:PB434,,Royal Mint Advisory Committee,https://www.gov.uk/government/organisations/royal-mint-advisory-committee,,,,,,
government-organisation:PB436,,Administrative Justice and Tribunals Council,https://www.gov.uk/government/organisations/administrative-justice-and-tribunals-council,,,,,,2013-08-19
government-organisation:PB437,,Advisory Committees on Justices of the Peace,https://www.gov.uk/government/organisations/advisory-committees-on-justices-of-the-peace,,,,,,
government-organisation:PB438,,The Advisory Council on National Records and Archives,https://www.gov.uk/government/organisations/the-advisory-council-on-national-records-and-archives,,,,,,
government-organisation:PB440,,Civil Procedure Rule Committee,https://www.gov.uk/government/organisations/civil-procedure-rules-committee,,,,,,
government-organisation:PB441,,Family Justice Council,https://www.gov.uk/government/organisations/family-justice-council,,,,,,
government-organisation:PB442,,Family Procedure Rule Committee,https://www.gov.uk/government/organisations/family-procedure-rule-committee,,,,,,
government-organisation:PB443,,Independent Advisory Panel on Deaths in Custody,https://www.gov.uk/government/organisations/independent-advisory-panel-on-deaths-in-custody,,,,,,
government-organisation:PB445,,Insolvency Rules Committee,https://www.gov.uk/government/organisations/insolvency-rules-committee,,,,,,
government-organisation:PB446,,Prison Service Pay Review Body,https://www.gov.uk/government/organisations/prison-services-pay-review-body,,,,,,
government-organisation:PB448,,Tribunal Procedure Committee,https://www.gov.uk/government/organisations/tribunal-procedure-committee,,,,,,
government-organisation:PB456,,Independent Police Complaints Commission,https://www.gov.uk/government/organisations/independent-police-complaint-commission,,,,,,
government-organisation:PB457,,Office of Surveillance Commissioners,https://www.gov.uk/government/organisations/office-of-surveillance-commissioners,,,,,,
government-organisation:PB458,,Police Negotiating Board,https://www.gov.uk/government/organisations/police-negotiating-board,,,,,,2014-10-01
government-organisation:PB459,,Directly Operated Railways Limited,https://www.gov.uk/government/organisations/directly-operated-railways-limited,,,,,,
government-organisation:PB460,,High Speed Two (HS2) Limited,https://www.gov.uk/government/organisations/high-speed-two-limited,,,,,,
government-organisation:PB461,,British Transport Police Authority,https://www.gov.uk/government/organisations/british-transport-police-authority,,,,,,
government-organisation:PB462,,Trinity House,https://www.gov.uk/government/organisations/trinity-house,,,,,,
government-organisation:PB463,,Northern Lighthouse Board,https://www.gov.uk/government/organisations/northern-lighthouse-board,,,,,,
government-organisation:PB464,,Passenger Focus,https://www.gov.uk/government/organisations/passenger-focus,,,,,,
